ID_PARTICIPANTE,TASK_NUMBER,TASK_COMPLETION_TIME,NUMBER_OF_CLICKS_TO_TO_COMPLETE_THE_TASK,environment
0,1,10.1988616,3,ar
0,2,5.2325463,2,ar
0,3,14.5794285,5,ar
0,4,15.8843762,13,ar
0,5,15.3020107,7,ar
1,1,64.4311059,2,ar
1,2,32.2909604,3,ar
1,3,19.7416655,2,ar
1,4,147.6139574,10,ar
1,5,103.665919,11,ar
2,1,41.5155868,2,ar
2,2,58.8072915,5,ar
2,3,18.616761,1,ar
2,4,75.7432814,10,ar
2,5,64.1328882,7,ar
3,1,28.5339053,0,ar
3,2,28.1803714,3,ar
3,3,15.9167056,1,ar
3,4,127.8045824,17,ar
3,5,67.6040506,7,ar
4,1,39.1370466,7,ar
4,2,30.5650114,4,ar
4,3,12.3162884,1,ar
4,4,44.5372071,6,ar
4,5,44.492988,7,ar
5,1,35.9496881,0,ar
5,2,50.4834452,3,ar
5,3,21.9159644,3,ar
5,4,149.5249117,12,ar
5,5,163.7494512,12,ar
6,1,35.4238474,0,ar
6,2,31.6487079,4,ar
6,3,18.3651633,1,ar
6,4,59.9856624,8,ar
6,5,61.978144,11,ar
7,1,76.5996182,15,ar
7,2,37.3842553,4,ar
7,3,23.5367867,2,ar
7,4,167.1166546,9,ar
7,5,74.6424117,6,ar
8,1,37.1688113,0,ar
8,2,49.249781,4,ar
8,3,13.6778893,1,ar
8,4,71.2684195,6,ar
8,5,58.497561,7,ar
